Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP10_L15	TP10	Leaf	BT642	Post_flowering	1	Post_floweringTP10
TP10_L16	TP10	Leaf	RT430	Post_flowering	1	Post_floweringTP10
TP10_L21	TP10	Leaf	BT642	Post_flowering	3	Post_floweringTP10
TP10_L22	TP10	Leaf	RT430	Post_flowering	3	Post_floweringTP10
TP10_L3	TP10	Leaf	RT430	Post_flowering	2	Post_floweringTP10
TP10_L4	TP10	Leaf	BT642	Post_flowering	2	Post_floweringTP10
TP11_L15	TP11	Leaf	BT642	Post_flowering	1	Post_floweringTP11
TP11_L16	TP11	Leaf	RT430	Post_flowering	1	Post_floweringTP11
TP11_L21	TP11	Leaf	BT642	Post_flowering	3	Post_floweringTP11
TP11_L22	TP11	Leaf	RT430	Post_flowering	3	Post_floweringTP11
TP11_L3	TP11	Leaf	RT430	Post_flowering	2	Post_floweringTP11
TP11_L4	TP11	Leaf	BT642	Post_flowering	2	Post_floweringTP11
TP12_L15	TP12	Leaf	BT642	Post_flowering	1	Post_floweringTP12
TP12_L16	TP12	Leaf	RT430	Post_flowering	1	Post_floweringTP12
TP12_L21	TP12	Leaf	BT642	Post_flowering	3	Post_floweringTP12
TP12_L22	TP12	Leaf	RT430	Post_flowering	3	Post_floweringTP12
TP12_L3	TP12	Leaf	RT430	Post_flowering	2	Post_floweringTP12
TP12_L4	TP12	Leaf	BT642	Post_flowering	2	Post_floweringTP12
TP13_L15	TP13	Leaf	BT642	Post_flowering	1	Post_floweringTP13
TP13_L16	TP13	Leaf	RT430	Post_flowering	1	Post_floweringTP13
TP13_L21	TP13	Leaf	BT642	Post_flowering	3	Post_floweringTP13
TP13_L22	TP13	Leaf	RT430	Post_flowering	3	Post_floweringTP13
TP13_L3	TP13	Leaf	RT430	Post_flowering	2	Post_floweringTP13
TP13_L4	TP13	Leaf	BT642	Post_flowering	2	Post_floweringTP13
TP13_L4_S	TP13	Leaf	BT642	Post_flowering	2	Post_floweringTP13
TP14_L15	TP14	Leaf	BT642	Post_flowering	1	Post_floweringTP14
TP14_L16	TP14	Leaf	RT430	Post_flowering	1	Post_floweringTP14
TP14_L21	TP14	Leaf	BT642	Post_flowering	3	Post_floweringTP14
TP14_L22	TP14	Leaf	RT430	Post_flowering	3	Post_floweringTP14
TP14_L3	TP14	Leaf	RT430	Post_flowering	2	Post_floweringTP14
TP14_L4	TP14	Leaf	BT642	Post_flowering	2	Post_floweringTP14
TP15_L15	TP15	Leaf	BT642	Post_flowering	1	Post_floweringTP15
TP15_L16	TP15	Leaf	RT430	Post_flowering	1	Post_floweringTP15
TP15_L21	TP15	Leaf	BT642	Post_flowering	3	Post_floweringTP15
TP15_L22	TP15	Leaf	RT430	Post_flowering	3	Post_floweringTP15
TP15_L3	TP15	Leaf	RT430	Post_flowering	2	Post_floweringTP15
TP15_L4	TP15	Leaf	BT642	Post_flowering	2	Post_floweringTP15
TP16_L15	TP16	Leaf	BT642	Post_flowering	1	Post_floweringTP16
TP16_L16	TP16	Leaf	RT430	Post_flowering	1	Post_floweringTP16
TP16_L21	TP16	Leaf	BT642	Post_flowering	3	Post_floweringTP16
TP16_L22	TP16	Leaf	RT430	Post_flowering	3	Post_floweringTP16
TP16_L3	TP16	Leaf	RT430	Post_flowering	2	Post_floweringTP16
TP16_L3_S	TP16	Leaf	RT430	Post_flowering	2	Post_floweringTP16
