Var1	Var2	value	Variation
ControlTP1	ControlTP1	0	Control
ControlTP10	ControlTP1	0.631299292	Control
ControlTP11	ControlTP1	0.702296508	Control
ControlTP12	ControlTP1	0.705706714	Control
ControlTP13	ControlTP1	0.718132361	Control
ControlTP14	ControlTP1	0.736467941	Control
ControlTP15	ControlTP1	0.74371759	Control
ControlTP16	ControlTP1	0.746355876	Control
ControlTP17	ControlTP1	0.736312134	Control
ControlTP2	ControlTP1	0.615399569	Control
ControlTP3	ControlTP1	0.570506377	Control
ControlTP4	ControlTP1	0.532919516	Control
ControlTP5	ControlTP1	0.631337148	Control
ControlTP6	ControlTP1	0.607217628	Control
ControlTP7	ControlTP1	0.649808476	Control
ControlTP8	ControlTP1	0.675809987	Control
ControlTP9	ControlTP1	0.650362194	Control
ControlTP1	ControlTP10	0.631299292	Control
ControlTP10	ControlTP10	0	Control
ControlTP11	ControlTP10	0.186478083	Control
ControlTP12	ControlTP10	0.220234052	Control
ControlTP13	ControlTP10	0.322407234	Control
ControlTP14	ControlTP10	0.29207629	Control
ControlTP15	ControlTP10	0.352340721	Control
ControlTP16	ControlTP10	0.342341496	Control
ControlTP17	ControlTP10	0.338088288	Control
ControlTP2	ControlTP10	0.637270378	Control
ControlTP3	ControlTP10	0.682345788	Control
ControlTP4	ControlTP10	0.49728759	Control
ControlTP5	ControlTP10	0.446102606	Control
ControlTP6	ControlTP10	0.260411493	Control
ControlTP7	ControlTP10	0.249321047	Control
ControlTP8	ControlTP10	0.22056462	Control
ControlTP9	ControlTP10	0.158769911	Control
ControlTP1	ControlTP11	0.702296508	Control
ControlTP10	ControlTP11	0.186478083	Control
ControlTP11	ControlTP11	0	Control
ControlTP12	ControlTP11	0.129283675	Control
ControlTP13	ControlTP11	0.256737901	Control
ControlTP14	ControlTP11	0.202463753	Control
ControlTP15	ControlTP11	0.258761899	Control
ControlTP16	ControlTP11	0.259120514	Control
ControlTP17	ControlTP11	0.275791788	Control
ControlTP2	ControlTP11	0.704022173	Control
ControlTP3	ControlTP11	0.756207092	Control
ControlTP4	ControlTP11	0.584781201	Control
ControlTP5	ControlTP11	0.531351808	Control
ControlTP6	ControlTP11	0.35296764	Control
ControlTP7	ControlTP11	0.317513714	Control
ControlTP8	ControlTP11	0.25359727	Control
ControlTP9	ControlTP11	0.192170034	Control
ControlTP1	ControlTP12	0.705706714	Control
ControlTP10	ControlTP12	0.220234052	Control
ControlTP11	ControlTP12	0.129283675	Control
ControlTP12	ControlTP12	0	Control
ControlTP13	ControlTP12	0.176723516	Control
ControlTP14	ControlTP12	0.130330753	Control
ControlTP15	ControlTP12	0.186187995	Control
ControlTP16	ControlTP12	0.188347696	Control
ControlTP17	ControlTP12	0.222333397	Control
ControlTP2	ControlTP12	0.707272341	Control
ControlTP3	ControlTP12	0.759625172	Control
ControlTP4	ControlTP12	0.598565449	Control
ControlTP5	ControlTP12	0.538454316	Control
ControlTP6	ControlTP12	0.362875153	Control
ControlTP7	ControlTP12	0.315198049	Control
ControlTP8	ControlTP12	0.241739352	Control
ControlTP9	ControlTP12	0.19834179	Control
ControlTP1	ControlTP13	0.718132361	Control
ControlTP10	ControlTP13	0.322407234	Control
ControlTP11	ControlTP13	0.256737901	Control
ControlTP12	ControlTP13	0.176723516	Control
ControlTP13	ControlTP13	0	Control
ControlTP14	ControlTP13	0.168429316	Control
