ID	Pre	PreOrPostSign	PreOrPostEnrich	Pre_pvalue	Post	Post_prevalue	Phylum_B	Phylum_A	OTUAbund
959	-0.782075234	postS	noneE	0.254018863	-4.183491856	2.61E-28	Diderm	Acidobacteria	781
1017	0.227189351	postS	preE	0.778245372	-4.000290989	5.11E-09	Diderm	Acidobacteria	65
1028	-0.079237127	postS	noneE	0.919952271	-3.919949349	4.39E-15	Diderm	Acidobacteria	200
817	0.220731093	postS	preE	0.810884715	-3.264154669	1.13E-06	Diderm	Acidobacteria	81
685	-1.402963173	postS	noneE	0.338238125	-2.765280654	2.90E-05	Diderm	Acidobacteria	45
1474	1.310971998	postS	preE	0.138147044	-2.647894753	0.00020868	Diderm	Acidobacteria	45
2415	-0.900026246	postS	noneE	0.398990109	-2.50503191	0.000795989	Diderm	Acidobacteria	28
168	0.655517676	postS	preE	0.003173906	-2.475927265	3.01E-31	Diderm	Acidobacteria	1530
1100	-0.216705174	postS	noneE	0.784112026	-2.412345645	0.000872045	Diderm	Acidobacteria	57
1110	0.044909103	postS	preE	0.934898778	-2.405844171	8.67E-08	Diderm	Acidobacteria	160
403	-0.474193604	postS	noneE	0.284815426	-2.306221141	2.28E-20	Diderm	Acidobacteria	624
2726	-0.01812163	postS	noneE	0.990382479	-2.264810186	4.66E-05	Diderm	Acidobacteria	56
496	-6.678414279	bothS	noneE	8.08E-12	-2.259679401	1.70E-30	Diderm	Acidobacteria	1808
3854	0.360645851	noneS	preE	0.852185803	-2.229697033	0.005571824	Diderm	Acidobacteria	20
506	0.064668057	postS	preE	0.884205303	-2.2194172	2.73E-06	Diderm	Acidobacteria	162
1188	0.317352063	postS	preE	0.476662517	-2.149274476	3.70E-06	Diderm	Acidobacteria	121
837	-0.648705413	postS	noneE	0.360740556	-2.130181565	2.94E-08	Diderm	Acidobacteria	132
519	0.245593987	postS	preE	0.805856944	-2.072287813	0.000774733	Diderm	Acidobacteria	56
397	0.29723903	postS	preE	0.343269094	-2.052272872	0.000430978	Diderm	Acidobacteria	210
775	0.31969988	noneS	preE	0.622550539	-1.963313752	0.002356739	Diderm	Acidobacteria	64
588	-1.752650047	bothS	noneE	0.00020467	-1.939432551	6.33E-21	Diderm	Acidobacteria	860
1361	1.522195743	noneS	preE	0.084402093	-1.935727487	0.016735134	Diderm	Acidobacteria	24
295	0.59492288	postS	preE	0.172822563	-1.903746724	2.28E-07	Diderm	Acidobacteria	257
274	0.578249919	postS	preE	0.10460929	-1.864061503	6.73E-06	Diderm	Acidobacteria	307
1565	-0.77537257	noneS	noneE	0.300847268	-1.838971112	0.003210559	Diderm	Acidobacteria	56
1037	-2.075069118	noneS	noneE	0.00595691	-1.834974271	0.00346825	Diderm	Acidobacteria	69
2151	-1.782179231	postS	noneE	0.050878429	-1.83487719	0.00021647	Diderm	Acidobacteria	93
67	0.711278168	bothS	preE	0.000721689	-1.816682409	5.15E-13	Diderm	Acidobacteria	1059
1607	0.165073623	noneS	preE	0.813751269	-1.805234765	0.017496969	Diderm	Acidobacteria	41
2289	0.22061317	postS	preE	0.771038927	-1.790100088	9.09E-05	Diderm	Acidobacteria	70
407	1.007062199	postS	preE	0.023655543	-1.780784397	1.49E-05	Diderm	Acidobacteria	189
836	0.213146155	postS	preE	0.576620744	-1.770755745	1.67E-06	Diderm	Acidobacteria	178
290	0.365055504	postS	preE	0.339582642	-1.761812704	1.02E-05	Diderm	Acidobacteria	258
932	-0.474271894	noneS	noneE	0.491127303	-1.738697928	0.004895845	Diderm	Acidobacteria	81
424	0.229178535	noneS	preE	0.682983249	-1.722093353	0.008282027	Diderm	Acidobacteria	73
627	0.910415398	postS	preE	0.044276374	-1.715852995	4.24E-05	Diderm	Acidobacteria	151
2900	-2.349828972	postS	noneE	0.013540389	-1.710967885	0.000719591	Diderm	Acidobacteria	74
1292	-4.278451004	bothS	noneE	7.02E-06	-1.655801574	6.07E-10	Diderm	Acidobacteria	312
1563	0.214969143	postS	preE	0.741771101	-1.628423289	0.000572055	Diderm	Acidobacteria	95
1776	-0.289255863	noneS	noneE	0.781095589	-1.62486853	0.002807436	Diderm	Acidobacteria	60
628	-2.532266641	bothS	noneE	1.21E-08	-1.599487512	2.93E-13	Diderm	Acidobacteria	882
191	0.04623583	postS	preE	0.90077854	-1.542863586	1.42E-05	Diderm	Acidobacteria	282
234	-1.908513645	bothS	noneE	4.50E-16	-1.515113876	1.12E-20	Diderm	Acidobacteria	3607
427	-0.138040173	postS	noneE	0.657341034	-1.444295926	0.000181278	Diderm	Acidobacteria	266
606	0.479425681	noneS	preE	0.361991424	-1.411692906	0.00565293	Diderm	Acidobacteria	101
338	0.764924047	noneS	preE	0.053229945	-1.398178149	0.005448971	Diderm	Acidobacteria	176
872	-0.772298898	postS	noneE	0.056069515	-1.385080564	5.73E-07	Diderm	Acidobacteria	320
934	0.43664084	noneS	preE	0.388705967	-1.367401103	0.004897812	Diderm	Acidobacteria	95
368	0.602535346	noneS	preE	0.053634654	-1.366050202	0.009883392	Diderm	Acidobacteria	251
96	0.505285554	postS	preE	0.032540717	-1.333218192	4.75E-06	Diderm	Acidobacteria	553
440	1.053618673	noneS	preE	0.010298873	-1.312076319	0.006405755	Diderm	Acidobacteria	146
259	0.846530014	noneS	preE	0.03372103	-1.163537739	0.00125319	Diderm	Acidobacteria	229
1032	1.861314844	noneS	preE	0.00619157	-1.159516523	0.122183886	Diderm	Acidobacteria	36
927	0.165410063	postS	preE	0.575250085	-1.157496806	0.000131284	Diderm	Acidobacteria	291
495	-0.560956027	postS	noneE	0.086393785	-1.144453771	1.10E-05	Diderm	Acidobacteria	568
106	0.546080843	postS	preE	0.003244263	-1.092488403	8.00E-08	Diderm	Acidobacteria	928
125	0.745778275	bothS	preE	9.08E-05	-1.062432142	1.04E-06	Diderm	Acidobacteria	905
446	0.321649771	postS	preE	0.236483442	-1.033748811	0.000770117	Diderm	Acidobacteria	282
305	0.751088361	noneS	preE	0.021166807	-1.026964186	0.006558495	Diderm	Acidobacteria	193
238	-0.16187832	postS	noneE	0.443688183	-1.018565334	5.55E-10	Diderm	Acidobacteria	1597
676	0.684520666	noneS	preE	0.026725524	-1.013777093	0.00350938	Diderm	Acidobacteria	241
159	0.579462959	postS	preE	0.030542178	-0.989760988	0.000500626	Diderm	Acidobacteria	467
154	0.075256857	noneS	preE	0.765654725	-0.958696527	0.001620576	Diderm	Acidobacteria	487
112	0.269473389	postS	preE	0.062132703	-0.936266676	1.24E-06	Diderm	Acidobacteria	1413
169	-0.0521832	postS	noneE	0.725220334	-0.929687722	6.27E-08	Diderm	Acidobacteria	1102
441	1.061899614	noneS	preE	0.002942331	-0.927814719	0.035992212	Diderm	Acidobacteria	123
443	0.040646489	noneS	preE	0.896813005	-0.881277111	0.008051074	Diderm	Acidobacteria	213
1582	2.975999493	noneS	preE	0.002842833	-0.861574527	0.448750928	Diderm	Acidobacteria	14
54	-1.276193506	bothS	noneE	4.22E-17	-0.826448311	2.26E-12	Diderm	Acidobacteria	10004
70	-0.758237108	bothS	noneE	8.78E-08	-0.825141456	1.63E-13	Diderm	Acidobacteria	4053
462	1.292371153	preS	preE	2.22E-07	-0.815219251	0.00873663	Diderm	Acidobacteria	283
80	0.322327644	postS	preE	0.04980429	-0.804687915	2.45E-07	Diderm	Acidobacteria	1452
1505	-0.897454104	noneS	noneE	0.228809001	-0.74185793	0.006698225	Diderm	Acidobacteria	163
319	0.809761091	noneS	preE	0.008891712	-0.72415256	0.032816963	Diderm	Acidobacteria	235
910	2.020893938	noneS	preE	0.009810481	-0.684746481	0.406002447	Diderm	Acidobacteria	37
175	0.080298805	noneS	preE	0.661418309	-0.683736041	0.001059041	Diderm	Acidobacteria	773
164	0.392218932	noneS	preE	0.09780027	-0.681817041	0.008151503	Diderm	Acidobacteria	615
201	-0.002119346	postS	noneE	0.991610413	-0.668394816	0.000993637	Diderm	Acidobacteria	723
149	-0.286442605	postS	noneE	0.126121831	-0.580182407	0.000533509	Diderm	Acidobacteria	1195
1249	1.70922054	noneS	preE	0.013108432	-0.564557365	0.55999315	Diderm	Acidobacteria	46
329	0.259068193	noneS	preE	0.180142137	-0.548794531	0.018204707	Diderm	Acidobacteria	548
683	-1.161462883	preS	noneE	0.0008795	-0.486850415	0.003447585	Diderm	Acidobacteria	672
60	0.760196737	preS	preE	0.000611984	-0.429211774	0.020143726	Diderm	Acidobacteria	4806
841	1.351777713	noneS	preE	0.003150426	-0.367383743	0.471360949	Diderm	Acidobacteria	85
59	0.403049595	preS	preE	0.000975774	-0.355187327	0.005602158	Diderm	Acidobacteria	3799
721	-1.160555714	preS	noneE	0.000271617	-0.341771685	0.06788	Diderm	Acidobacteria	437
862	1.168395202	noneS	preE	0.009567327	-0.27894089	0.629851313	Diderm	Acidobacteria	71
170	-0.814151411	preS	noneE	4.38E-08	-0.270246209	0.00604067	Diderm	Acidobacteria	4509
189	-1.45460361	preS	noneE	2.02E-13	-0.24585016	0.043000115	Diderm	Acidobacteria	4320
2042	-3.781659601	preS	noneE	3.13E-05	-0.22667179	0.732658398	Diderm	Acidobacteria	39
31	0.69046719	preS	preE	0.000103631	-0.215033758	0.213817441	Diderm	Acidobacteria	2419
868	1.555570371	noneS	preE	0.003678299	-0.065616987	0.948565464	Diderm	Acidobacteria	35
64	-0.38592243	preS	noneE	0.000727661	-0.028521221	0.789037143	Diderm	Acidobacteria	3967
208	0.656564539	preS	preE	0.000228965	-0.028404986	0.903346739	Diderm	Acidobacteria	710
452	0.769627045	noneS	bothE	0.015892116	0.035966109	0.918999718	Diderm	Acidobacteria	203
522	0.799556765	noneS	bothE	0.001045951	0.082188793	0.858152573	Diderm	Acidobacteria	198
705	1.255915792	preS	bothE	7.82E-06	0.14742909	0.758646641	Diderm	Acidobacteria	154
51	-0.967899735	preS	postE	1.66E-16	0.248124513	0.029798318	Diderm	Acidobacteria	5606
124	0.583183602	noneS	bothE	0.007003316	0.473658057	0.095233812	Diderm	Acidobacteria	634
965	1.649487061	noneS	bothE	0.00233036	0.588502693	0.392219909	Diderm	Acidobacteria	31
455	-6.040542949	preS	postE	1.12E-14	0.595839009	0.016295913	Diderm	Acidobacteria	1435
