Sampe_ID	Timepoint	SampleType	Genotype	Treatment	GenotypeByTreatment
est_count_TP3_RS11	TP3	Soil	BT642	Control	BT642Control
est_count_TP3_RS12	TP3	Soil	RT430	Control	RT430Control
est_count_TP3_RS5	TP3	Soil	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP3_RS6	TP3	Soil	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP3_RZ11	TP3	Rhizosphere	BT642	Control	BT642Control
est_count_TP3_RZ12	TP3	Rhizosphere	RT430	Control	RT430Control
est_count_TP3_RZ5	TP3	Rhizosphere	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP3_RZ6	TP3	Rhizosphere	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP4_RS11	TP4	Soil	BT642	Control	BT642Control
est_count_TP4_RS12	TP4	Soil	RT430	Control	RT430Control
est_count_TP4_RS5	TP4	Soil	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP4_RS6	TP4	Soil	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP4_RZ11	TP4	Rhizosphere	BT642	Control	BT642Control
est_count_TP4_RZ12	TP4	Rhizosphere	RT430	Control	RT430Control
est_count_TP4_RZ5	TP4	Rhizosphere	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP4_RZ6	TP4	Rhizosphere	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP8_RS11	TP8	Soil	BT642	Control	BT642Control
est_count_TP8_RS12	TP8	Soil	RT430	Control	RT430Control
est_count_TP8_RS5	TP8	Soil	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP8_RS6	TP8	Soil	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP8_RZ11	TP8	Rhizosphere	BT642	Control	BT642Control
est_count_TP8_RZ12	TP8	Rhizosphere	RT430	Control	RT430Control
est_count_TP8_RZ5	TP8	Rhizosphere	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP8_RZ6	TP8	Rhizosphere	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP9_RS11	TP9	Soil	BT642	Control	BT642Control
est_count_TP9_RS12	TP9	Soil	RT430	Control	RT430Control
est_count_TP9_RS5	TP9	Soil	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP9_RS6	TP9	Soil	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP9_RZ11	TP9	Rhizosphere	BT642	Control	BT642Control
est_count_TP9_RZ12	TP9	Rhizosphere	RT430	Control	RT430Control
est_count_TP9_RZ5	TP9	Rhizosphere	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP9_RZ6	TP9	Rhizosphere	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP10_RS11	TP10	Soil	BT642	Control	BT642Control
est_count_TP10_RS12	TP10	Soil	RT430	Control	RT430Control
est_count_TP10_RS21	TP10	Soil	BT642	Post_flowering	BT642Post_flowering
est_count_TP10_RS22	TP10	Soil	RT430	Post_flowering	RT430Post_flowering
est_count_TP10_RS5	TP10	Soil	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP10_RS6	TP10	Soil	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP10_RZ11	TP10	Rhizosphere	BT642	Control	BT642Control
est_count_TP10_RZ12	TP10	Rhizosphere	RT430	Control	RT430Control
est_count_TP10_RZ21	TP10	Rhizosphere	BT642	Post_flowering	BT642Post_flowering
est_count_TP10_RZ22	TP10	Rhizosphere	RT430	Post_flowering	RT430Post_flowering
est_count_TP10_RZ5	TP10	Rhizosphere	RT430	Pre_flowering	RT430Pre_flowering
est_count_TP10_RZ6	TP10	Rhizosphere	BT642	Pre_flowering	BT642Pre_flowering
est_count_TP11_RS11	TP11	Soil	BT642	Control	BT642Control
est_count_TP11_RS12	TP11	Soil	RT430	Control	RT430Control
est_count_TP11_RS21	TP11	Soil	BT642	Post_flowering	BT642Post_flowering
est_count_TP11_RS22	TP11	Soil	RT430	Post_flowering	RT430Post_flowering
est_count_TP11_RZ11	TP11	Rhizosphere	BT642	Control	BT642Control
est_count_TP11_RZ12	TP11	Rhizosphere	RT430	Control	RT430Control
est_count_TP11_RZ21	TP11	Rhizosphere	BT642	Post_flowering	BT642Post_flowering
est_count_TP11_RZ22	TP11	Rhizosphere	RT430	Post_flowering	RT430Post_flowering
