Annotation	Soil	Rhi	total	Soil_P	Rhizosphere_P
Energy production and conversion	0.066595518	0.052631579	0.058093552	0.007683082	0.9972844
Cell cycle control, cell division, chromosome partitioning	0.005336179	0.006541353	0.005296089	0.5120589	0.02904572
Amino acid transport and metabolism	0.032230523	0.057293233	0.047395416	0.9999999	7.12E-08
Nucleotide transport and metabolism	0.00981857	0.012631579	0.013237528	0.9862019	0.742323
Carbohydrate transport and metabolism	0.037139808	0.076165414	0.047257132	0.9996932	4.23E-49
Coenzyme transport and metabolism	0.017502668	0.017293233	0.019111895	0.8043584	0.944992
Lipid transport and metabolism	0.020277481	0.019323308	0.021726715	0.7661894	0.976246
Translation, ribosomal structure and biogenesis	0.048879402	0.066917293	0.07281808	1	0.9965001
Transcription	0.056776948	0.045037594	0.047657617	0.002272037	0.9282681
Replication, recombination and repair	0.016435432	0.016466165	0.017729057	0.7646135	0.8757313
Cell wall/membrane/envelope biogenesis	0.026254002	0.028195489	0.033856178	0.9987971	0.99992
Cell motility	0.001707577	0.002631579	0.003124854	0.9784341	0.8681208
Posttranslational modification, protein turnover, chaperones	0.12977588	0.053909774	0.055432038	1.19E-82	0.7863297
Inorganic ion transport and metabolism	0.03094984	0.03075188	0.033529325	0.8476998	0.9673347
Secondary metabolites biosynthesis, transport and catabolism	0.016862327	0.02406015	0.01986617	0.940244	0.00036318
General function prediction only	0.057630736	0.044511278	0.056599369	0.3883746	1
Function unknown	0.065741729	0.028270677	0.040409392	2.38E-16	1
Signal transduction mechanisms	0.026254002	0.023684211	0.034912163	0.9996832	1
Intracellular trafficking, secretion, and vesicular transport	0.009605123	0.012932331	0.016744908	0.9999867	0.9998608
Defense mechanisms	0.004055496	0.006992481	0.010906459	0.9999999	0.9999989
Mobilome: prophages, transposons	0.007684098	0.007218045	0.006170689	0.1109037	0.06877906
