Annotation	soil	rhi	total	Soil_p	Rhi_p
Energy production and conversion	0.035289024	0.049606167	0.058093552	1	0.9981744
Cell cycle control, cell division, chromosome partitioning	0.00519593	0.006200771	0.005296089	0.57	0.1878948
Amino acid transport and metabolism	0.036804503	0.04508128	0.047395416	0.9998151	0.809055
Nucleotide transport and metabolism	0.00887638	0.011060835	0.013237528	0.9975942	0.9410213
Carbohydrate transport and metabolism	0.036804503	0.058991118	0.047257132	0.9997826	1.87E-05
Coenzyme transport and metabolism	0.015804287	0.018769901	0.019111895	0.9589326	0.5899471
Lipid transport and metabolism	0.020134228	0.023797553	0.021726715	0.78536	0.1452094
Translation, ribosomal structure and biogenesis	0.053907772	0.059996648	0.07281808	0.9999999	0.9999629
Transcription	0.041134445	0.039383275	0.047657617	0.9847351	0.9991205
Replication, recombination and repair	0.01558779	0.015418133	0.017729057	0.8791073	0.9230814
Cell wall/membrane/envelope biogenesis	0.033773544	0.036869449	0.033856178	0.5237582	0.1052793
Cell motility	0.002381468	0.00418971	0.003124854	0.8527927	0.09032177
Posttranslational modification, protein turnover, chaperones	0.063650141	0.04826546	0.055432038	0.008749108	0.9938825
Inorganic ion transport and metabolism	0.034423035	0.03251215	0.033529325	0.3785889	0.6795473
Secondary metabolites biosynthesis, transport and catabolism	0.027278632	0.028154852	0.01986617	0.000333503	7.84E-06
General function prediction only	0.058887205	0.049773756	0.056599369	0.2581141	0.9908687
Function unknown	0.048928339	0.044746104	0.040409392	0.002274262	0.04842121
Signal transduction mechanisms	0.033124053	0.027819675	0.034912163	0.7576949	0.9991377
Intracellular trafficking, secretion, and vesicular transport	0.013422819	0.010725658	0.016744908	0.969405	0.9999588
Defense mechanisms	0.009742368	0.009552539	0.010906459	0.796576	0.8597086
Extracellular structures	0.001298982	0.00100553	0.001803077	0.7263935	0.9122873
Mobilome: prophages, transposons	0.013855813	0.008714597	0.006170689	5.47E-09	0.009968309
Cytoskeleton	0.000216497	0.000502765	0.000599828	0.9381472	0.6951532
