Phylum	Category	Percentage	Count	Timepoint	SampleType
Aminicenantes	Energy production and conversion	0.006134969	1	TP9	Soil
Chlorobi	Energy production and conversion	0.006134969	1	TP9	Soil
Deferribacteres	Energy production and conversion	0.006134969	1	TP9	Soil
Deinococcus-Thermus	Energy production and conversion	0.006134969	1	TP9	Soil
Fusobacteria	Energy production and conversion	0.006134969	1	TP9	Soil
Ignavibacteriae	Energy production and conversion	0.006134969	1	TP9	Soil
Spirochaetes	Energy production and conversion	0.006134969	1	TP9	Soil
Verrucomicrobia	Energy production and conversion	0.006134969	1	TP9	Soil
Cyanobacteria	Energy production and conversion	0.003378378	1	TP9	Rhizosphere
Chloroflexi	Energy production and conversion	0.003378378	1	TP9	Rhizosphere
Gemmatimonadetes	Energy production and conversion	0.003378378	1	TP9	Rhizosphere
candidate division NC10	Energy production and conversion	0.003205128	1	TP8	Soil
Tenericutes	Energy production and conversion	0.003205128	1	TP8	Soil
Verrucomicrobia	Energy production and conversion	0.003205128	1	TP8	Soil
Cyanobacteria	Energy production and conversion	0.001428571	1	TP8	Rhizosphere
Poribacteria	Energy production and conversion	0.012269939	2	TP9	Soil
Bacteroidetes	Energy production and conversion	0.006756757	2	TP9	Rhizosphere
Bacteroidetes	Energy production and conversion	0.006410256	2	TP8	Soil
Caldithrixae	Energy production and conversion	0.006410256	2	TP8	Soil
Ignavibacteriae	Energy production and conversion	0.006410256	2	TP8	Soil
Nitrospirae	Energy production and conversion	0.006410256	2	TP8	Soil
Poribacteria	Energy production and conversion	0.006410256	2	TP8	Soil
Acidobacteria	Energy production and conversion	0.002857143	2	TP8	Rhizosphere
Tenericutes	Energy production and conversion	0.002857143	2	TP8	Rhizosphere
Cyanobacteria	Energy production and conversion	0.018404908	3	TP9	Soil
Firmicutes	Energy production and conversion	0.018404908	3	TP9	Soil
Nitrospinae	Energy production and conversion	0.018404908	3	TP9	Soil
Planctomycetes	Energy production and conversion	0.018404908	3	TP9	Soil
Tenericutes	Energy production and conversion	0.018404908	3	TP9	Soil
Bacteroidetes	Energy production and conversion	0.004285714	3	TP8	Rhizosphere
Cyanobacteria	Energy production and conversion	0.012820513	4	TP8	Soil
Planctomycetes	Energy production and conversion	0.012820513	4	TP8	Soil
Bacteroidetes	Energy production and conversion	0.030674847	5	TP9	Soil
Acidobacteria	Energy production and conversion	0.016025641	5	TP8	Soil
Acidobacteria	Energy production and conversion	0.036809816	6	TP9	Soil
Firmicutes	Energy production and conversion	0.025641026	8	TP8	Soil
Chloroflexi	Energy production and conversion	0.055214724	9	TP9	Soil
Chloroflexi	Energy production and conversion	0.038461538	12	TP8	Soil
Chloroflexi	Energy production and conversion	0.017142857	12	TP8	Rhizosphere
Nitrospirae	Energy production and conversion	0.079754601	13	TP9	Soil
Actinobacteria	Energy production and conversion	0.202453988	33	TP9	Soil
Firmicutes	Energy production and conversion	0.061428571	43	TP8	Rhizosphere
Proteobacteria	Energy production and conversion	0.062857143	44	TP8	Rhizosphere
Proteobacteria	Energy production and conversion	0.179054054	53	TP9	Rhizosphere
Proteobacteria	Energy production and conversion	0.441717791	72	TP9	Soil
Proteobacteria	Energy production and conversion	0.298076923	93	TP8	Soil
Firmicutes	Energy production and conversion	0.324324324	96	TP9	Rhizosphere
Actinobacteria	Energy production and conversion	0.47972973	142	TP9	Rhizosphere
Actinobacteria	Energy production and conversion	0.554487179	173	TP8	Soil
Actinobacteria	Energy production and conversion	0.847142857	593	TP8	Rhizosphere
Acidobacteria	Cell cycle control, cell division, chromosome partitioning	0.041666667	1	TP9	Soil
candidate division NC10	Cell cycle control, cell division, chromosome partitioning	0.041666667	1	TP9	Soil
Nitrospirae	Cell cycle control, cell division, chromosome partitioning	0.041666667	1	TP9	Soil
Chlamydiae	Cell cycle control, cell division, chromosome partitioning	0.04	1	TP8	Soil
Proteobacteria	Cell cycle control, cell division, chromosome partitioning	0.04	1	TP8	Soil
Bacteroidetes	Cell cycle control, cell division, chromosome partitioning	0.027027027	1	TP9	Rhizosphere
Cyanobacteria	Cell cycle control, cell division, chromosome partitioning	0.083333333	2	TP9	Soil
Proteobacteria	Cell cycle control, cell division, chromosome partitioning	0.083333333	2	TP9	Soil
Firmicutes	Cell cycle control, cell division, chromosome partitioning	0.125	3	TP9	Soil
Chloroflexi	Cell cycle control, cell division, chromosome partitioning	0.12	3	TP8	Soil
Proteobacteria	Cell cycle control, cell division, chromosome partitioning	0.081081081	3	TP9	Rhizosphere
Chloroflexi	Cell cycle control, cell division, chromosome partitioning	0.034482759	3	TP8	Rhizosphere
Actinobacteria	Cell cycle control, cell division, chromosome partitioning	0.208333333	5	TP9	Soil
Firmicutes	Cell cycle control, cell division, chromosome partitioning	0.068965517	6	TP8	Rhizosphere
Proteobacteria	Cell cycle control, cell division, chromosome partitioning	0.08045977	7	TP8	Rhizosphere
Bacteroidetes	Cell cycle control, cell division, chromosome partitioning	0.375	9	TP9	Soil
Firmicutes	Cell cycle control, cell division, chromosome partitioning	0.297297297	11	TP9	Rhizosphere
Actinobacteria	Cell cycle control, cell division, chromosome partitioning	0.8	20	TP8	Soil
Actinobacteria	Cell cycle control, cell division, chromosome partitioning	0.594594595	22	TP9	Rhizosphere
Actinobacteria	Cell cycle control, cell division, chromosome partitioning	0.816091954	71	TP8	Rhizosphere
Candidatus Marinimicrobia	Amino acid transport and metabolism	0.006622517	1	TP8	Soil
Nitrospinae	Amino acid transport and metabolism	0.006622517	1	TP8	Soil
Omnitrophica	Amino acid transport and metabolism	0.006622517	1	TP8	Soil
Planctomycetes	Amino acid transport and metabolism	0.006622517	1	TP8	Soil
Thermotogae	Amino acid transport and metabolism	0.006622517	1	TP8	Soil
candidate division NC10	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Cyanobacteria	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Deinococcus-Thermus	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Gemmatimonadetes	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Nitrospinae	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Omnitrophica	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Spirochaetes	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Thermotogae	Amino acid transport and metabolism	0.005882353	1	TP9	Soil
Cyanobacteria	Amino acid transport and metabolism	0.003717472	1	TP9	Rhizosphere
Planctomycetes	Amino acid transport and metabolism	0.003717472	1	TP9	Rhizosphere
Armatimonadetes	Amino acid transport and metabolism	0.003717472	1	TP9	Rhizosphere
Bacteroidetes	Amino acid transport and metabolism	0.001312336	1	TP8	Rhizosphere
Cyanobacteria	Amino acid transport and metabolism	0.001312336	1	TP8	Rhizosphere
Omnitrophica	Amino acid transport and metabolism	0.001312336	1	TP8	Rhizosphere
Planctomycetes	Amino acid transport and metabolism	0.001312336	1	TP8	Rhizosphere
Synergistetes	Amino acid transport and metabolism	0.001312336	1	TP8	Rhizosphere
Tenericutes	Amino acid transport and metabolism	0.001312336	1	TP8	Rhizosphere
Planctomycetes	Amino acid transport and metabolism	0.011764706	2	TP9	Soil
Synergistetes	Amino acid transport and metabolism	0.011764706	2	TP9	Soil
Chloroflexi	Amino acid transport and metabolism	0.007434944	2	TP9	Rhizosphere
