Value	Treatment	Strain
8.525666667	Control	SAI80
7.291666667	Control	SAI80
8.102666667	Control	SAI80
7.031666667	Control	SAI80
4.893666667	Control	SAI80
5.630666667	Control	SAI80
5.686666667	Control	SAI80
5.089	Control	SAI80
5.025	Control	SAI80
3.586	Control	SAI80
8.095333333	Control	SAI80
5.398333333	Control	SAI80
5.254333333	Control	SAI80
4.717	Control	SAI80
4.677	Control	SAI80
1.81475	Control	SAI80
1.57775	Control	SAI80
1.59275	Control	SAI80
3.001	Control	SAI80
3.122	Control	SAI80
1.985	Control	SAI80
1.08	Control	SAI80
0.92	Control	SAI80
1.416	Control	SAI80
2.55175	Control	SAI80
4.15275	Control	SAI80
6.46975	Control	SAI80
3.53075	Control	SAI80
4.244	Drought	SAI80
4.282	Drought	SAI80
3.168	Drought	SAI80
2.63	Drought	SAI80
2.437	Drought	SAI80
3.752	Drought	SAI80
3.008	Drought	SAI80
2.55	Drought	SAI80
2.76	Drought	SAI80
4.317	Drought	SAI80
1.817	Drought	SAI80
5.808333333	Drought	SAI80
8.150333333	Drought	SAI80
7.938333333	Drought	SAI80
7.422333333	Drought	SAI80
8.911333333	Drought	SAI80
5.301333333	Drought	SAI80
7.632	Drought	SAI80
9.069	Drought	SAI80
7.491	Drought	SAI80
5.594	Drought	SAI80
4.49	Drought	SAI80
8.305	Drought	SAI80
15.64	Drought	SAI80
22.3	Drought	SAI80
7.754	Drought	SAI80
17.562	Drought	SAI80
14.895	Drought	SAI80
8.959	Drought	SAI80
6.643	Drought	SAI80
7.418	Drought	SAI80
11.66	Drought	SAI80
5.992	Drought	SAI80
13.59333333	Drought	SAI80
13.36733333	Drought	SAI80
15.64033333	Drought	SAI80
7.868666667	Drought	SAI80
10.38566667	Drought	SAI80
12.17166667	Drought	SAI80
4.735333333	Drought	SAI80
10.94433333	Drought	SAI80
12.86233333	Drought	SAI80
8.642333333	Drought	SAI80
7.435333333	Drought	SAI80
15.96833333	Drought	SAI80
8.939	Drought	SAI80
12.896	Drought	SAI80
8.556	Drought	SAI80
11.792	Drought	SAI80
5.934666667	Control	SAI73
2.284	Control	SAI73
2.311333333	Control	SAI73
2.789	Control	SAI73
2.974333333	Control	SAI73
3.822333333	Control	SAI73
3.89	Control	SAI73
4.548333333	Control	SAI73
5.342	Control	SAI73
5.972	Control	SAI73
6.287666667	Control	SAI73
6.484666667	Control	SAI73
6.722666667	Control	SAI73
6.850333333	Control	SAI73
6.870333333	Control	SAI73
7.189	Control	SAI73
7.516333333	Control	SAI73
8.389666667	Control	SAI73
8.648	Control	SAI73
9.280333333	Control	SAI73
9.948	Control	SAI73
10.67333333	Control	SAI73
17.40866667	Control	SAI73
28.587	Control	SAI73
32.01266667	Drought	SAI73
7.856333333	Drought	SAI73
16.42066667	Drought	SAI73
17.76633333	Drought	SAI73
19.16266667	Drought	SAI73
4.941	Drought	SAI73
4.017	Drought	SAI73
15.55466667	Drought	SAI73
10.26633333	Drought	SAI73
3.187	Drought	SAI73
11.19466667	Drought	SAI73
44.09766667	Drought	SAI73
14.65866667	Drought	SAI73
9.284	Drought	SAI73
16.031	Drought	SAI73
3.697	Drought	SAI73
5.495333333	Drought	SAI73
39.37266667	Drought	SAI73
13.91133333	Drought	SAI73
10.06633333	Drought	SAI73
15.63133333	Drought	SAI73
8.578333333	Drought	SAI73
19.82366667	Drought	SAI73
14.89833333	Drought	SAI73
2.119	PEG	SAI73
3.375666667	PEG	SAI73
3.830666667	PEG	SAI73
4.469	PEG	SAI73
4.497666667	PEG	SAI73
4.998	PEG	SAI73
6.728	PEG	SAI73
6.896666667	PEG	SAI73
8.644666667	PEG	SAI73
8.872666667	PEG	SAI73
9.127333333	PEG	SAI73
11.88866667	PEG	SAI73
12.60066667	PEG	SAI73
12.945	PEG	SAI73
15.45566667	PEG	SAI73
15.66466667	PEG	SAI73
16.16866667	PEG	SAI73
16.40833333	PEG	SAI73
17.354	PEG	SAI73
18.27366667	PEG	SAI73
18.47733333	PEG	SAI73
18.63166667	PEG	SAI73
20.81666667	PEG	SAI73
27.27766667	PEG	SAI73
27.47166667	PEG	SAI73
33.20166667	PEG	SAI73
43.20966667	PEG	SAI73
