Phylum	baseMean	RA	padj	Stage	log.padj	log.baseMean	log.RA
Acidobacteria	826.8857523	3.55357957	4.88E-15	Early	-14.31161263	2.917445509	0.550666044
Actinobacteria	13566.88486	35.16998616	7.85E-50	Early	-49.10523841	4.132480139	1.546172197
Armatimonadetes	13.00915542	0.049640154	1.50E-09	Early	-8.825156314	1.114249102	-1.304166881
Bacteroidetes	8486.871233	19.85075358	3.98E-53	Early	-52.39992484	3.928747613	1.297776998
BRC1	12.66450393	0.046576764	4.38E-08	Early	-7.358903066	1.102588183	-1.331830686
CCM11b	5.468916676	0.028739174	2.32E-10	Early	-9.635176204	0.737901307	-1.541525719
Chlamydiae	1.266682513	0.004262746	0.260564406	Early	-0.584084911	0.102667775	-2.370310559
Chlorobi	17.77760987	0.063681863	6.52E-08	Early	-7.185697782	1.249873371	-1.195984237
Chloroflexi	795.1347021	2.700053422	2.85E-15	Early	-14.54440396	2.900440708	0.431372357
Cyanobacteria	100.7114756	0.433142153	2.42E-05	Early	-4.616062971	2.003078959	-0.363369549
Elusimicrobia	9.707433866	0.041203523	3.36E-08	Early	-7.473118813	0.987104441	-1.385065651
Firmicutes	1997.649038	7.650027421	2.03E-15	Early	-14.69280192	3.300519191	0.883662992
Gemmatimonadetes	172.731363	0.77459291	5.19E-20	Early	-19.28511473	2.2373712	-0.110926483
GN02	0.44932727	0.002047948	0.61843663	Early	-0.208704795	-0.347437223	-2.688681126
Nitrospirae	46.59270451	0.218115642	4.17E-12	Early	-11.37950744	1.66831792	-0.661313189
Planctomycetes	37.06058857	0.155090413	1.61E-07	Early	-6.79384919	1.568912312	-0.809415046
Proteobacteria	9401.617947	26.85854145	1.58E-62	Early	-61.80237911	3.973202599	1.429082425
SC3	2.432673091	0.005391132	0.006470553	Early	-2.189058581	0.386083751	-2.268320015
SPAM	7.836112758	0.037435833	1.67E-06	Early	-5.778026498	0.894100677	-1.426712494
Spirochaetes	0.095868875	0.000286263	1	Early	0	-1.018322369	-3.543234278
TM7	296.7692419	0.918767826	2.96E-12	Early	-11.52839684	2.472418887	-0.036794221
Verrucomicrobia	382.8333436	1.307542452	2.22E-56	Early	-55.65401403	2.583009756	0.116455798
ZB2	0.452826799	0.002472452	0.50129646	Early	-0.299905362	-0.344067879	-2.606872065
Acidobacteria	800.067655	2.32561904	0.933034858	Late	-0.030102131	2.903126713	0.366538574
Actinobacteria	3894.80541	11.09784268	7.96E-09	Late	-8.099278553	3.590485765	1.045238564
Armatimonadetes	63.5109594	0.187580573	2.67E-09	Late	-8.572875234	1.802848673	-0.726812141
Bacteroidetes	11312.81978	32.81366815	4.72E-05	Late	-4.326364547	4.053570869	1.516054782
BRC1	11.80584752	0.034733816	0.052902905	Late	-1.276520481	1.07209717	-1.459247498
CCM11b	1.37248369	0.004102622	0.931299843	Late	-0.03091047	0.137507192	-2.386938507
Chlamydiae	3.777066299	0.011071433	1.92E-09	Late	-8.716554771	0.577154608	-1.955796145
Chlorobi	29.05900127	0.085905035	1.96E-15	Late	-14.70814532	1.463280684	-1.06598138
Chloroflexi	552.6784165	1.607866972	0.007049575	Late	-2.151837081	2.742472505	0.206250114
Cyanobacteria	52.92893172	0.154874239	0.0997194	Late	-1.001220345	1.723693129	-0.810020816
Elusimicrobia	11.51017291	0.034202675	9.02E-15	Late	-14.04482014	1.061081848	-1.465939925
Firmicutes	139.5415093	0.411967417	2.46E-28	Late	-27.6093886	2.144703416	-0.385137131
Gemmatimonadetes	113.9688772	0.331110307	0.007049575	Late	-2.151837081	2.05678627	-0.4800273
GN02	4.310030481	0.012972139	1.75E-12	Late	-11.75780859	0.634480342	-1.886988392
Nitrospirae	20.91010826	0.061723276	3.72E-07	Late	-6.429590358	1.320356281	-1.209551028
Planctomycetes	54.91207044	0.161917737	1.92E-09	Late	-8.716985243	1.739667819	-0.790705574
Proteobacteria	15500.7114	44.53523511	0.121895202	Late	-0.914013388	4.19035163	1.648703749
SC3	1.023177565	0.00295947	0.849341213	Late	-0.070917802	0.009951009	-2.528786026
SPAM	3.948509076	0.011411837	0.027222548	Late	-1.565071232	0.596433141	-1.942644434
Spirochaetes	26.85240595	0.081710512	9.72E-33	Late	-32.01227459	1.428983204	-1.08772207
TM7	984.8169222	2.904762151	0.022169254	Late	-1.654248922	2.993355503	0.463110577
Verrucomicrobia	958.1259206	2.822421094	0.064047871	Late	-1.193495299	2.981422589	0.450621809
ZB2	7.2042223	0.021760097	5.39E-23	Late	-22.26827328	0.857587105	-1.662339172
