Taxa	Value	SD	Normalization	Genotype	Timepoint	Treatment
Bacteria	1	0.587167474	GAPDH	RTx430	TP8	Control
Actinobacteria	1	0.2732744	GAPDH	RTx430	TP8	Control
Firmicutes	1	0.273044166	GAPDH	RTx430	TP8	Control
Proteobacteria	1	0.278410462	GAPDH	RTx430	TP8	Control
Bacteria	1	0.490603605	CYP	RTx430	TP8	Control
Actinobacteria	1	0.285233864	CYP	RTx430	TP8	Control
Firmicutes	1	0.281330775	CYP	RTx430	TP8	Control
Proteobacteria	1	0.254637431	CYP	RTx430	TP8	Control
Bacteria	1	0.577653582	PP2A	RTx430	TP8	Control
Actinobacteria	1	0.227929563	PP2A	RTx430	TP8	Control
Firmicutes	1	0.235603913	PP2A	RTx430	TP8	Control
Proteobacteria	1	0.325959628	PP2A	RTx430	TP8	Control
Bacteria	0.11721352	0.01881976	GAPDH	RTx430	TP8	Drought
Actinobacteria	0.596146887	0.215826464	GAPDH	RTx430	TP8	Drought
Firmicutes	0.274086531	0.063200994	GAPDH	RTx430	TP8	Drought
Proteobacteria	0.022460568	0.011591424	GAPDH	RTx430	TP8	Drought
Bacteria	0.136290488	0.024466381	CYP	RTx430	TP8	Drought
Actinobacteria	0.689333999	0.218384324	CYP	RTx430	TP8	Drought
Firmicutes	0.316930557	0.058990562	CYP	RTx430	TP8	Drought
Proteobacteria	0.024269796	0.010067364	CYP	RTx430	TP8	Drought
Bacteria	0.141788441	0.032145364	PP2A	RTx430	TP8	Drought
Actinobacteria	0.73767326	0.204410995	PP2A	RTx430	TP8	Drought
Firmicutes	0.339155181	0.049858209	PP2A	RTx430	TP8	Drought
Proteobacteria	0.026276323	0.011668612	PP2A	RTx430	TP8	Drought
Bacteria	1	0.408107546	GAPDH	BTx642	TP8	Control
Actinobacteria	1	0.094036893	GAPDH	BTx642	TP8	Control
Firmicutes	1	0.153684562	GAPDH	BTx642	TP8	Control
Proteobacteria	1	0.289616906	GAPDH	BTx642	TP8	Control
Bacteria	1	0.41275083	CYP	BTx642	TP8	Control
Actinobacteria	1	0.073532146	CYP	BTx642	TP8	Control
