Taxa	Phylum	Status	Score	SampleType	PhylumRank	RootRank	Order	SignTest
RoseiflexalesOR	Chloroflexi	U	-1.571402668	Rhizosphere	0	-4.375369567	1	0
RoseiflexalesOR	Chloroflexi	U	-4.375369567	Root	0	-4.375369567	2	0
RoseiflexalesOR	Chloroflexi	U	0	Soil	0	-4.375369567	3	0
Oscillochloris	Chloroflexi	U	0	Rhizosphere	0	-3.521147412	4	0
Oscillochloris	Chloroflexi	U	-3.521147412	Root	0	-3.521147412	5	0
Oscillochloris	Chloroflexi	U	0	Soil	0	-3.521147412	6	0
A4bOR	Chloroflexi	U	-2.853313556	Rhizosphere	0	-2.549258724	7	0
A4bOR	Chloroflexi	U	-2.549258724	Root	0	-2.549258724	8	0
A4bOR	Chloroflexi	U	-0.927009813	Soil	0	-2.549258724	9	0
H5FA	Chloroflexi	U	-2.647572588	Rhizosphere	0	0	10	0
S085OR	Chloroflexi	U	-1.182542786	Rhizosphere	0	0	11	0
CaldilinealesOR	Chloroflexi	U	0	Rhizosphere	0	0	12	0
ThermomicrobialesOR	Chloroflexi	U	0.64092597	Rhizosphere	0	0	13	0
envOPS12OR	Chloroflexi	U	0.903011147	Rhizosphere	0	0	14	0
S47FA	Chloroflexi	U	1.523452574	Rhizosphere	0	0	15	0
AKYH910FA	Chloroflexi	U	2.755237995	Rhizosphere	0	0	16	0
AKYH910FA	Chloroflexi	U	0	Root	0	0	17	0
CaldilinealesOR	Chloroflexi	U	0	Root	0	0	18	0
envOPS12OR	Chloroflexi	U	0	Root	0	0	19	0
H5FA	Chloroflexi	U	0	Root	0	0	20	0
S085OR	Chloroflexi	U	0	Root	0	0	21	0
S47FA	Chloroflexi	U	0	Root	0	0	22	0
ThermomicrobialesOR	Chloroflexi	U	0	Root	0	0	23	0
AKYH910FA	Chloroflexi	U	0	Soil	0	0	24	0
envOPS12OR	Chloroflexi	U	0	Soil	0	0	25	0
H5FA	Chloroflexi	U	0	Soil	0	0	26	0
S085OR	Chloroflexi	U	0	Soil	0	0	27	0
S47FA	Chloroflexi	U	0	Soil	0	0	28	0
ThermomicrobialesOR	Chloroflexi	U	1.027891827	Soil	0	0	29	0
CaldilinealesOR	Chloroflexi	U	1.180200494	Soil	0	0	30	0
ThermomicrobiaCL	Chloroflexi	U	1.304482279	Rhizosphere	0	1.005238666	31	0
ThermomicrobiaCL	Chloroflexi	U	1.005238666	Root	0	1.005238666	32	0
ThermomicrobiaCL	Chloroflexi	U	1.305864013	Soil	0	1.005238666	33	0
SOGA31CL	Chloroflexi	U	0.762303091	Rhizosphere	0	1.739756262	34	0
SOGA31CL	Chloroflexi	U	1.739756262	Root	0	1.739756262	35	0
SOGA31CL	Chloroflexi	U	1.196216552	Soil	0	1.739756262	36	0
CaldilineaceaeFA	Chloroflexi	U	1.840725741	Rhizosphere	0	1.83906067	37	0
CaldilineaceaeFA	Chloroflexi	U	1.83906067	Root	0	1.83906067	38	0
CaldilineaceaeFA	Chloroflexi	U	0.630931044	Soil	0	1.83906067	39	0
FFCH4570FA	Chloroflexi	U	0	Rhizosphere	0	2.984039994	40	0
FFCH4570FA	Chloroflexi	U	2.984039994	Root	0	2.984039994	41	0
FFCH4570FA	Chloroflexi	U	0	Soil	0	2.984039994	42	0
KtedonobacteriaCL	Chloroflexi	U	4.778573767	Rhizosphere	0	3.215007861	43	0
KtedonobacteriaCL	Chloroflexi	U	3.215007861	Root	0	3.215007861	44	0
KtedonobacteriaCL	Chloroflexi	U	0	Soil	0	3.215007861	45	0
Tepidibacter	Firmicutes	M	2.773294349	Rhizosphere	1	0	46	0
Caloramator	Firmicutes	M	2.936609333	Rhizosphere	1	0	47	0
Symbiobacterium	Firmicutes	M	3.170256968	Rhizosphere	1	0	48	0
Pullulanibacillus	Firmicutes	M	3.536364154	Rhizosphere	1	0	49	0
Clostridium	Firmicutes	M	3.548644365	Rhizosphere	1	0	50	0
PlanococcaceaeFA	Firmicutes	M	3.654395717	Rhizosphere	1	0	51	0
Caloramator	Firmicutes	M	0	Root	1	0	52	0
Clostridium	Firmicutes	M	0	Root	1	0	53	0
PlanococcaceaeFA	Firmicutes	M	0	Root	1	0	54	0
Pullulanibacillus	Firmicutes	M	0	Root	1	0	55	0
Symbiobacterium	Firmicutes	M	0	Root	1	0	56	0
Tepidibacter	Firmicutes	M	0	Root	1	0	57	0
Caloramator	Firmicutes	M	0	Soil	1	0	58	0
Clostridium	Firmicutes	M	0	Soil	1	0	59	0
PlanococcaceaeFA	Firmicutes	M	0	Soil	1	0	60	0
Pullulanibacillus	Firmicutes	M	0	Soil	1	0	61	0
Symbiobacterium	Firmicutes	M	0	Soil	1	0	62	0
Tepidibacter	Firmicutes	M	0	Soil	1	0	63	0
Ammoniphilus	Firmicutes	M	1.901327847	Rhizosphere	1	1.785220597	64	0
Ammoniphilus	Firmicutes	M	1.785220597	Root	1	1.785220597	65	0
Ammoniphilus	Firmicutes	M	0	Soil	1	1.785220597	66	0
Terribacillus	Firmicutes	M	3.273302698	Rhizosphere	1	2.284571118	67	0
Terribacillus	Firmicutes	M	2.284571118	Root	1	2.284571118	68	0
Terribacillus	Firmicutes	M	0	Soil	1	2.284571118	69	0
Brevibacillus	Firmicutes	M	2.292574489	Rhizosphere	1	2.894180822	70	0
Brevibacillus	Firmicutes	M	2.894180822	Root	1	2.894180822	71	0
Brevibacillus	Firmicutes	M	0	Soil	1	2.894180822	72	0
ThermoactinomycetaceaeFA	Firmicutes	M	2.644785268	Rhizosphere	1	3.025659939	73	0
ThermoactinomycetaceaeFA	Firmicutes	M	3.025659939	Root	1	3.025659939	74	0
ThermoactinomycetaceaeFA	Firmicutes	M	0	Soil	1	3.025659939	75	0
BacillaceaeFA	Firmicutes	M	2.544631728	Rhizosphere	1	3.174752037	76	0
BacillaceaeFA	Firmicutes	M	3.174752037	Root	1	3.174752037	77	0
BacillaceaeFA	Firmicutes	M	0.9863345	Soil	1	3.174752037	78	0
Bacillus	Firmicutes	M	3.247678371	Rhizosphere	1	3.222814733	79	0
Bacillus	Firmicutes	M	3.222814733	Root	1	3.222814733	80	0
Bacillus	Firmicutes	M	0.784552098	Soil	1	3.222814733	81	0
Geobacillus	Firmicutes	M	2.377337579	Rhizosphere	1	3.500641166	82	0
Geobacillus	Firmicutes	M	3.500641166	Root	1	3.500641166	83	0
Geobacillus	Firmicutes	M	0	Soil	1	3.500641166	84	0
Alicyclobacillus	Firmicutes	M	3.047761693	Rhizosphere	1	3.953276054	85	0
Alicyclobacillus	Firmicutes	M	3.953276054	Root	1	3.953276054	86	0
Alicyclobacillus	Firmicutes	M	1.332967946	Soil	1	3.953276054	87	0
Thermoactinomyces	Firmicutes	M	3.806305534	Rhizosphere	1	4.298269186	88	0
Thermoactinomyces	Firmicutes	M	4.298269186	Root	1	4.298269186	89	0
Thermoactinomyces	Firmicutes	M	0	Soil	1	4.298269186	90	0
Shimazuella	Firmicutes	M	4.892031311	Rhizosphere	1	5.413420191	91	0
Shimazuella	Firmicutes	M	5.413420191	Root	1	5.413420191	92	0
Shimazuella	Firmicutes	M	0	Soil	1	5.413420191	93	0
Isoptericola	Actinobacteria	M	0	Rhizosphere	2	-2.465399211	94	0
Isoptericola	Actinobacteria	M	-2.465399211	Root	2	-2.465399211	95	0
Isoptericola	Actinobacteria	M	0	Soil	2	-2.465399211	96	0
StreptosporangiaceaeFA	Actinobacteria	M	1.712950864	Rhizosphere	2	0	97	0
koll13OR	Actinobacteria	M	1.884217934	Rhizosphere	2	0	98	0
Saccharomonospora	Actinobacteria	M	3.159743902	Rhizosphere	2	0	99	0
koll13OR	Actinobacteria	M	0	Root	2	0	100	0
Saccharomonospora	Actinobacteria	M	0	Root	2	0	101	0
