Taxa	Genotype	Value	SD	Treatment	Normalization
K	RT430	1	0.223055983	Control	GAPDH
K	BT642	1	0.200812324	Control	GAPDH
Sc2	RT430	1	0.099214348	Control	GAPDH
Sc2	BT642	1	0.267476746	Control	GAPDH
Sc1	RT430	1	0.092601001	Control	GAPDH
Sc1	BT642	1	0.000705136	Control	GAPDH
K	RT430	1	0.203872559	Control	CYP
K	BT642	1	0.284475117	Control	CYP
Sc2	RT430	1	0.175407608	Control	CYP
Sc2	BT642	1	0.229082083	Control	CYP
Sc1	RT430	1	0.140152114	Control	CYP
Sc1	BT642	1	0.012427953	Control	CYP
K	RT430	0.190318658	0.098951581	Drought	GAPDH
K	BT642	0.574621554	0.143765351	Drought	GAPDH
Sc2	RT430	2.416183174	0.410094283	Drought	GAPDH
Sc2	BT642	1.213239992	0.263043313	Drought	GAPDH
Sc1	RT430	1.807392629	0.022885943	Drought	GAPDH
Sc1	BT642	1.765069795	0.086142791	Drought	GAPDH
K	RT430	0.179282746	0.08409645	Drought	CYP
K	BT642	0.513788406	0.134062339	Drought	CYP
Sc2	RT430	1.752433659	0.291410949	Drought	CYP
Sc2	BT642	1.183622231	0.28632729	Drought	CYP
Sc1	RT430	1.662995471	0.052827034	Drought	CYP
Sc1	BT642	1.918413047	0.019671061	Drought	CYP
