fresh_weight	SampleType	Treatment1	Treatment2	Strain
31	Root	Drought	Drought	Mock
32	Root	Drought	Drought	Mock
31	Root	Drought	Drought	Mock
38	Root	Drought	Drought	Mock
21	Root	Drought	Drought	Mock
27	Root	Drought	Drought	Mock
35	Root	Drought	Drought	Mock
30	Root	Drought	Drought	Mock
24	Root	Drought	Drought	Mock
29	Root	Drought	Drought	Mock
38	Root	Drought	Drought	Mock
56	Root	Drought_80	Drought	Strain2
58	Root	Drought_80	Drought	Strain2
55	Root	Drought_80	Drought	Strain2
56	Root	Drought_80	Drought	Strain2
52	Root	Drought_80	Drought	Strain2
60	Root	Drought_80	Drought	Strain2
45	Root	Drought_80	Drought	Strain2
32	Root	Drought_80	Drought	Strain2
35	Root	Drought_80	Drought	Strain2
41	Root	Drought_80	Drought	Strain2
34	Root	Drought_80	Drought	Strain2
57	Root	Drought_80	Drought	Strain2
40	Root	Drought_80	Drought	Strain2
42	Root	Drought_80	Drought	Strain2
43	Root	Drought_80	Drought	Strain2
35	Root	Drought_80	Drought	Strain2
54	Root	Drought_73	Drought	Strain1
40	Root	Drought_73	Drought	Strain1
31	Root	Drought_73	Drought	Strain1
42	Root	Drought_73	Drought	Strain1
43	Root	Drought_73	Drought	Strain1
41	Root	Drought_73	Drought	Strain1
44	Root	Drought_73	Drought	Strain1
30	Root	Drought_73	Drought	Strain1
41	Root	Drought_73	Drought	Strain1
25	Root	Drought_73	Drought	Strain1
50	Root	Drought_73	Drought	Strain1
39	Root	Drought_73	Drought	Strain1
36	Root	Drought_73	Drought	Strain1
56	Root	Control	Control	Mock
50	Root	Control	Control	Mock
76	Root	Control	Control	Mock
67	Root	Control	Control	Mock
86	Root	Control	Control	Mock
77	Root	Control	Control	Mock
66	Root	Control	Control	Mock
67	Root	Control	Control	Mock
66	Root	Control	Control	Mock
64	Root	Control_80	Control	Strain2
59	Root	Control_80	Control	Strain2
60	Root	Control_80	Control	Strain2
46	Root	Control_80	Control	Strain2
65	Root	Control_80	Control	Strain2
54	Root	Control_80	Control	Strain2
56	Root	Control_80	Control	Strain2
94	Root	Control_80	Control	Strain2
102	Root	Control_80	Control	Strain2
54	Root	Control_80	Control	Strain2
37	Root	Control_80	Control	Strain2
76	Root	Control_80	Control	Strain2
45	Root	Control_80	Control	Strain2
64	Root	Control_73	Control	Strain1
72	Root	Control_73	Control	Strain1
70	Root	Control_73	Control	Strain1
69	Root	Control_73	Control	Strain1
37	Root	Control_73	Control	Strain1
75	Root	Control_73	Control	Strain1
64	Root	Control_73	Control	Strain1
54	Root	Control_73	Control	Strain1
85	Root	Control_73	Control	Strain1
49	Root	Control_73	Control	Strain1
41	Root	Control_73	Control	Strain1
55	Root	Control_73	Control	Strain1
54	Root	Control_73	Control	Strain1
104	Shoot	Drought	Drought	Mock
128	Shoot	Drought	Drought	Mock
123	Shoot	Drought	Drought	Mock
118	Shoot	Drought	Drought	Mock
98	Shoot	Drought	Drought	Mock
106	Shoot	Drought	Drought	Mock
112	Shoot	Drought	Drought	Mock
110	Shoot	Drought	Drought	Mock
91	Shoot	Drought	Drought	Mock
111	Shoot	Drought	Drought	Mock
124	Shoot	Drought	Drought	Mock
116	Shoot	Drought_80	Drought	Strain2
158	Shoot	Drought_80	Drought	Strain2
120	Shoot	Drought_80	Drought	Strain2
135	Shoot	Drought_80	Drought	Strain2
129	Shoot	Drought_80	Drought	Strain2
145	Shoot	Drought_80	Drought	Strain2
130	Shoot	Drought_80	Drought	Strain2
97	Shoot	Drought_80	Drought	Strain2
91	Shoot	Drought_80	Drought	Strain2
102	Shoot	Drought_80	Drought	Strain2
95	Shoot	Drought_80	Drought	Strain2
119	Shoot	Drought_80	Drought	Strain2
134	Shoot	Drought_80	Drought	Strain2
132	Shoot	Drought_80	Drought	Strain2
123	Shoot	Drought_80	Drought	Strain2
102	Shoot	Drought_80	Drought	Strain2
121	Shoot	Drought_73	Drought	Strain1
97	Shoot	Drought_73	Drought	Strain1
114	Shoot	Drought_73	Drought	Strain1
101	Shoot	Drought_73	Drought	Strain1
115	Shoot	Drought_73	Drought	Strain1
117	Shoot	Drought_73	Drought	Strain1
118	Shoot	Drought_73	Drought	Strain1
116	Shoot	Drought_73	Drought	Strain1
95	Shoot	Drought_73	Drought	Strain1
113	Shoot	Drought_73	Drought	Strain1
100	Shoot	Drought_73	Drought	Strain1
96	Shoot	Drought_73	Drought	Strain1
96	Shoot	Drought_73	Drought	Strain1
147	Shoot	Control	Control	Mock
130	Shoot	Control	Control	Mock
174	Shoot	Control	Control	Mock
162	Shoot	Control	Control	Mock
220	Shoot	Control	Control	Mock
197	Shoot	Control	Control	Mock
186	Shoot	Control	Control	Mock
197	Shoot	Control	Control	Mock
161	Shoot	Control	Control	Mock
219	Shoot	Control_80	Control	Strain2
159	Shoot	Control_80	Control	Strain2
148	Shoot	Control_80	Control	Strain2
167	Shoot	Control_80	Control	Strain2
224	Shoot	Control_80	Control	Strain2
162	Shoot	Control_80	Control	Strain2
183	Shoot	Control_80	Control	Strain2
158	Shoot	Control_80	Control	Strain2
169	Shoot	Control_80	Control	Strain2
168	Shoot	Control_80	Control	Strain2
143	Shoot	Control_80	Control	Strain2
168	Shoot	Control_80	Control	Strain2
149	Shoot	Control_80	Control	Strain2
177	Shoot	Control_73	Control	Strain1
197	Shoot	Control_73	Control	Strain1
135	Shoot	Control_73	Control	Strain1
191	Shoot	Control_73	Control	Strain1
148	Shoot	Control_73	Control	Strain1
177	Shoot	Control_73	Control	Strain1
141	Shoot	Control_73	Control	Strain1
155	Shoot	Control_73	Control	Strain1
194	Shoot	Control_73	Control	Strain1
162	Shoot	Control_73	Control	Strain1
155	Shoot	Control_73	Control	Strain1
190	Shoot	Control_73	Control	Strain1
165	Shoot	Control_73	Control	Strain1
