Weeks	mean	se	Treatment	Field
TP5	49	6.9	Pre-flowering	Kearney
TP6	69	6.6	Pre-flowering	Kearney
TP7	78	4.7	Pre-flowering	Kearney
TP8	84	5.4	Pre-flowering	Kearney
TP9	92	4.3	Pre-flowering	Kearney
TP10	4	1.9	Pre-flowering	Kearney
TP11	21	4.0	Pre-flowering	Kearney
TP12	31	5.9	Pre-flowering	Kearney
TP13	37	11.6	Pre-flowering	Kearney
TP14	34	4.4	Pre-flowering	Kearney
TP15	21	4.0	Pre-flowering	Kearney
TP16	39	10.1	Pre-flowering	Kearney
TP17	19	4.8	Pre-flowering	Kearney
TP5	5	1.1	Control	Kearney
TP6	14	1.4	Control	Kearney
TP7	15	1.9	Control	Kearney
TP8	20	1.7	Control	Kearney
TP9	15	1.0	Control	Kearney
TP10	39	3.6	Control	Kearney
TP11	14	1.9	Control	Kearney
TP12	19	1.7	Control	Kearney
TP13	29	3.0	Control	Kearney
TP14	45	3.5	Control	Kearney
TP15	19	3.5	Control	Kearney
TP16	32	3.6	Control	Kearney
TP17	36	2.8	Control	Kearney
TP5	11	1.3	Post-flowering	Kearney
TP6	20	2.4	Post-flowering	Kearney
TP7	12	2.2	Post-flowering	Kearney
TP8	15	2.1	Post-flowering	Kearney
TP9	29	2.2	Post-flowering	Kearney
TP10	16	1.0	Post-flowering	Kearney
TP11	57	7.0	Post-flowering	Kearney
TP12	67	9.9	Post-flowering	Kearney
TP13	81	6.9	Post-flowering	Kearney
TP14	86	4.8	Post-flowering	Kearney
TP15	92	6.3	Post-flowering	Kearney
TP16	92	3.6	Post-flowering	Kearney
TP17	93	4.9	Post-flowering	Kearney
TP3	32	2.6	Pre-flowering	Gill
TP7	63	5.6	Pre-flowering	Gill
TP11	72	2.7	Pre-flowering	Gill
TP14	35	0.3	Pre-flowering	Gill
TP3	22	6.8	Control	Gill
TP7	38	0.7	Control	Gill
TP11	44	2	Control	Gill
TP14	29	1.8	Control	Gill
