Hybrid	Treatment	TP2	TP3	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP14	TP15	TP16	TP17
RTx430	Control	16.5	23	38.5	61	74	63	84	97	97	105	102	117	105	110	111
RTx430	Control	16.5	21	36	53	86	62	67	92	93	99	102	107	110	113	104
RTx430	Control	16.5	17	33	51	80	94	91	104	92	111	119	110	111	117	108
RTx430	Control	16.5	31.5	34	45	55	68	94	106	97	106	112	112	119	126	110
RTx430	Control	16.5	33	40	49	46	66	98	101	101	108	95	125	109	109	109
BTx642	Control	17.5	27	45	47	56	89	82	94	39	97	103	103	98	100	91
BTx642	Control	17.5	28	43.5	47	59	96	79	95	94	96	98	108	102	104	100
BTx642	Control	17.5	27	32	49	46	67	94	90	89	88	92	104	93	96	101
BTx642	Control	17.5	31	30	54	69	42	65	103	92	85	92	111	101	100	96
BTx642	Control	17.5	26	37.5	50.5	57	72	73	96	87	89	103	97	106	92	99
RTx430	Post_flowering	15	26.5	34	45	62	62	100	96	96	102	107	96	115	115	102
RTx430	Post_flowering	15	29	38.5	55	60	71	77	100	91	102	121	111	112	107	102
RTx430	Post_flowering	15	19	31	57	62	72	106	109	97	111	117	111	120	117	111
RTx430	Post_flowering	15	24.5	38	64	68	74	102	108	93	105	115	118	125	122	111
RTx430	Post_flowering	15	28	41.5	63	86	72	94	101	94	99	87	119	116	121	116
BTx642	Post_flowering	20	37	35.5	48	53	95	66	95	96	95	101	103	102	101	103
BTx642	Post_flowering	20	24	32	50	72	95	72	106	96	101	103	105	95	104	102
BTx642	Post_flowering	20	32	31	52	63	89	78	106	104	105	108	107	98	105	111
BTx642	Post_flowering	20	33	42	52	62	99	75	109	100	103	104	108	99	100	99
BTx642	Post_flowering	20	34	46.5	41	57	98	89	94	96	96	99	103	96	96	100
RTx430	Pre_flowering	17	22	29	40	56	70	63	47	71	80	87	94	88	105	91
RTx430	Pre_flowering	17	25.5	34	48	53	76	65	59	84	86	97	92	99	101	101
RTx430	Pre_flowering	17	26	28	40	52	69	68	74	72	89	103	97	92	112	112
RTx430	Pre_flowering	17	31	35	44	57	59	61	58	81	87	101	95	101	88	101
RTx430	Pre_flowering	17	18	27	44	43	65	58	49	77	90	93	90	96	111	89
BTx642	Pre_flowering	23	33.5	43	43	56	66	70	66	74	68	78	81	97	108	97
BTx642	Pre_flowering	23	35	39	53	67	60	60	46	55	77	84	79	94	104	103
BTx642	Pre_flowering	23	40	33	49	54	60	55	54	71	76	78	79	92	103	105
BTx642	Pre_flowering	23	34	30	46	53	51	64	60	46	76	87	84	88	99	107
BTx642	Pre_flowering	23	23	39	42	62	52	62	57	62	83	82	88	95	85	88
BTx642	Control	19.8	34	42.5	45	63	91	65	106	99	101	107	102	105	112	105
BTx642	Control	19.8	27	36.5	53.5	63	99	98	103	98	101	111	108	111	110	107
BTx642	Control	19.8	31	45	53	72	106	92	101	97	100	106	98	107	108	106
