Hybrid	Treatment	Rep	FloweringTime	GrainHarvestWeight	GrainPercMoisture	Grain1000Weight	ForageFreshWeight	ForagePercMoisture
RTx430	Control	1	216	12.1	26.06	35.72	88.5	67.9
BTx642	Control	1	210	17.5	28.3	27.6	88.5	70.2
RTx430	Post_flowering	2	216	11.03	20.55	22.12	39.1	61.1
BTx642	Post_flowering	2	210	21.09	26.17	27.62	56.0	61.5
RTx430	Pre_flowering	3	230	14.08	27.67	30.13	64.1	67.2
BTx642	Pre_flowering	3	216	12.72	40.12	23.94	64.4	73.4
BTx642	Control	3	210	22.06	27.45	28.51	101.2	64.2
RTx430	Control	3	216	22.36	21.57	35.03	101.7	73.7
RTx430	Pre_flowering	2	228	19.75	22.16	31.75	61.7	66.7
BTx642	Pre_flowering	2	230	13.99	41.4	25.2	48.7	70.1
BTx642	Post_flowering	1	210	12.72	25.06	21.78	45.4	56.6
RTx430	Post_flowering	1	216	17.31	24.5	26.46	32.9	49.4
BTx642	Pre_flowering	1	230	16.6	35.59	25.17	58.1	73.9
RTx430	Pre_flowering	1	228	17.29	34.31	30.84	62.1	66.2
BTx642	Control	2	210	21.27	33.64	30.03	90.3	63.1
RTx430	Control	2	216	23.64	21.04	34.73	90.3	63.5
BTx642	Post_flowering	3	210	24.66	23.48	27.7	51.2	44.9
RTx430	Post_flowering	3	216	16.78	22.48	25.36	42.7	39.0
