Timepoint	R_square	Conditions	Variation
TP3	0.61701	Control-Pre	SampleType
TP4	0.51123	Control-Pre	SampleType
TP5	0.44307	Control-Pre	SampleType
TP6	0.37456	Control-Pre	SampleType
TP7	0.36615	Control-Pre	SampleType
TP8	0.354	Control-Pre	SampleType
TP9	0.54021	Control-Pre	SampleType
TP10	0.63275	Control-Pre	SampleType
TP11	0.64348	Control-Pre	SampleType
TP12	0.62893	Control-Pre	SampleType
TP13	0.66308	Control-Pre	SampleType
TP14	0.66009	Control-Pre	SampleType
TP15	0.67986	Control-Pre	SampleType
TP16	0.65833	Control-Pre	SampleType
TP17	0.65929	Control-Pre	SampleType
TP3	0.01384	Control-Pre	Genotype
TP4	0.00844	Control-Pre	Genotype
TP5	0.00802	Control-Pre	Genotype
TP6	0.00938	Control-Pre	Genotype
TP7	0.0127	Control-Pre	Genotype
TP8	0.01104	Control-Pre	Genotype
TP9	0.01195	Control-Pre	Genotype
TP10	0.01398	Control-Pre	Genotype
TP11	0.00975	Control-Pre	Genotype
TP12	0.01134	Control-Pre	Genotype
TP13	0.01124	Control-Pre	Genotype
TP14	0.01308	Control-Pre	Genotype
TP15	0.01155	Control-Pre	Genotype
TP16	0.01485	Control-Pre	Genotype
TP17	0.01719	Control-Pre	Genotype
TP3	0.01232	Control-Pre	Treatment
TP4	0.20628	Control-Pre	Treatment
TP5	0.23877	Control-Pre	Treatment
TP6	0.3011	Control-Pre	Treatment
TP7	0.29989	Control-Pre	Treatment
TP8	0.30993	Control-Pre	Treatment
TP9	0.13125	Control-Pre	Treatment
TP10	0.09459	Control-Pre	Treatment
TP11	0.08004	Control-Pre	Treatment
TP12	0.08806	Control-Pre	Treatment
TP13	0.06762	Control-Pre	Treatment
TP14	0.05895	Control-Pre	Treatment
TP15	0.05258	Control-Pre	Treatment
TP16	0.05195	Control-Pre	Treatment
TP17	0.04349	Control-Pre	Treatment
TP9	0.7451	Control-Post	SampleType
TP10	0.69097	Control-Post	SampleType
TP11	0.69966	Control-Post	SampleType
TP12	0.6564	Control-Post	SampleType
TP13	0.65774	Control-Post	SampleType
TP14	0.62409	Control-Post	SampleType
TP15	0.59311	Control-Post	SampleType
TP16	0.5981	Control-Post	SampleType
TP17	0.59998	Control-Post	SampleType
TP9	0.01084	Control-Post	Genotype
TP10	0.01247	Control-Post	Genotype
TP11	0.00808	Control-Post	Genotype
TP12	0.01597	Control-Post	Genotype
TP13	0.01529	Control-Post	Genotype
TP14	0.02654	Control-Post	Genotype
TP15	0.01269	Control-Post	Genotype
TP16	0.01156	Control-Post	Genotype
TP17	0.01469	Control-Post	Genotype
TP9	0.01002	Control-Post	Treatment
TP10	0.01936	Control-Post	Treatment
TP11	0.02748	Control-Post	Treatment
TP12	0.05167	Control-Post	Treatment
TP13	0.06024	Control-Post	Treatment
TP14	0.06692	Control-Post	Treatment
TP15	0.10315	Control-Post	Treatment
TP16	0.10634	Control-Post	Treatment
TP17	0.10033	Control-Post	Treatment
